id,numero junta,provincia,canton,distrito,datos certificación,datos procesados tse
284,Junta 1805,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,160 Votos PPSO
285,Junta 1807,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,166 Votos PPSO
286,Junta 1825,SAN JOSE,CURRIDABAT,CURRIDABAT,114 Votos PPSO,Resultados no Procesados
287,Junta 1827,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,122 Votos PPSO
288,Junta 1829,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,97 Votos PPSO
289,Junta 1845,SAN JOSE,CURRIDABAT,GRANADILLA,142 Votos PPSO,Resultados no Procesados
290,Junta 1849,SAN JOSE,CURRIDABAT,GRANADILLA,Certificación no disponible,158 Votos PPSO
291,Junta 1862,SAN JOSE,CURRIDABAT,SANCHEZ,98 Votos PPSO,30 Votos PPSO
292,Junta 1864,SAN JOSE,CURRIDABAT,SANCHEZ,Certificación no disponible,98 Votos PPSO
293,Junta 1878,SAN JOSE,CURRIDABAT,TIRRASES,184 Votos PPSO,Resultados no Procesados
294,Junta 1884,SAN JOSE,CURRIDABAT,TIRRASES,212 Votos PPSO,Resultados no Procesados
295,Junta 1887,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,192 Votos PPSO,Resultados no Procesados
296,Junta 1893,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,Certificación no disponible,184 Votos PPSO
297,Junta 1898,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,156 Votos PPSO,Resultados no Procesados
298,Junta 1906,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,153 Votos PPSO,Resultados no Procesados
299,Junta 1915,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,41 Votos PPSO,Resultados no Procesados
300,Junta 1916,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,223 Votos PPSO,195 Votos PPSO
301,Junta 1938,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,64 Votos PPSO,Resultados no Procesados
302,Junta 1957,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,203 Votos PPSO,3 Votos PPSO
303,Junta 1963,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,Certificación no disponible,176 Votos PPSO
304,Junta 1969,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL,47 Votos PPSO,56 Votos PPSO
305,Junta 2003,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,206 Votos PPSO,Resultados no Procesados
306,Junta 2004,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,208 Votos PPSO,Resultados no Procesados
307,Junta 2005,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,233 Votos PPSO
308,Junta 2009,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,221 Votos PPSO
309,Junta 2016,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,218 Votos PPSO
310,Junta 2021,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,207 Votos PPSO,226 Votos PPSO
311,Junta 2025,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,218 Votos PPSO
312,Junta 2026,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Sin datos en la Certificación,0 Votos PPSO
313,Junta 2034,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,198 Votos PPSO
314,Junta 2037,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,166 Votos PPSO
315,Junta 2039,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,Certificación no disponible,16 Votos PPSO
316,Junta 2043,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,166 Votos PPSO
317,Junta 2044,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,130 Votos PPSO
318,Junta 2045,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,137 Votos PPSO
319,Junta 2046,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,117 Votos PPSO
320,Junta 2047,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,93 Votos PPSO
321,Junta 2051,SAN JOSE,PEREZ ZELEDON,RIVAS,94 Votos PPSO,Resultados no Procesados
322,Junta 2052,SAN JOSE,PEREZ ZELEDON,RIVAS,Certificación no disponible,63 Votos PPSO
323,Junta 2055,SAN JOSE,PEREZ ZELEDON,RIVAS,102 Votos PPSO,101 Votos PPSO
324,Junta 2072,SAN JOSE,PEREZ ZELEDON,SAN PEDRO,Certificación no disponible,207 Votos PPSO
325,Junta 2099,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,196 Votos PPSO
326,Junta 2100,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,107 Votos PPSO
327,Junta 2101,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,87 Votos PPSO
328,Junta 2102,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,52 Votos PPSO
329,Junta 2103,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,47 Votos PPSO
330,Junta 2104,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,Certificación no disponible,36 Votos PPSO
331,Junta 2105,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,268 Votos PPSO
332,Junta 2108,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,253 Votos PPSO
333,Junta 2112,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,228 Votos PPSO
334,Junta 2113,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,238 Votos PPSO
335,Junta 2114,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,259 Votos PPSO
336,Junta 2115,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,194 Votos PPSO
337,Junta 2116,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,193 Votos PPSO
338,Junta 2117,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,215 Votos PPSO
339,Junta 2118,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,207 Votos PPSO
340,Junta 2119,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,131 Votos PPSO
341,Junta 2120,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,56 Votos PPSO
342,Junta 2121,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,174 Votos PPSO
343,Junta 2122,SAN JOSE,PEREZ ZELEDON,CAJON,Certificación no disponible,163 Votos PPSO
344,Junta 2124,SAN JOSE,PEREZ ZELEDON,BARU,Certificación no disponible,135 Votos PPSO
345,Junta 2126,SAN JOSE,PEREZ ZELEDON,BARU,Certificación no disponible,133 Votos PPSO
346,Junta 2127,SAN JOSE,PEREZ ZELEDON,BARU,Certificación no disponible,158 Votos PPSO
347,Junta 2129,SAN JOSE,PEREZ ZELEDON,BARU,Certificación no disponible,91 Votos PPSO
348,Junta 2131,SAN JOSE,PEREZ ZELEDON,RIO NUEVO,Certificación no disponible,177 Votos PPSO
349,Junta 2132,SAN JOSE,PEREZ ZELEDON,RIO NUEVO,Certificación no disponible,135 Votos PPSO
